Niter,Jacobi,Gauss-Seidel,Relaxation
1.000000,-0.001635,-0.002091,-0.002074
2.000000,-0.002594,-0.003600,-0.003547
3.000000,-0.003351,-0.004755,-0.004678²
4.000000,-0.003998,-0.005727,-0.005632
5.000000,-0.004573,-0.006583,-0.006473
6.000000,-0.005097,-0.007358,-0.007234
7.000000,-0.005581,-0.008072,-0.007936
8.000000,-0.006033,-0.008738,-0.008591
9.000000,-0.006460,-0.009365,-0.009207
10.000000,-0.006865,-0.009959,-0.009791
11.000000,-0.007251,-0.010525,-0.010347
12.000000,-0.007621,-0.011067,-0.010880
13.000000,-0.007977,-0.011587,-0.011392
14.000000,-0.008320,-0.012089,-0.011885
15.000000,-0.008652,-0.012574,-0.012362
16.000000,-0.008974,-0.013045,-0.012824
17.000000,-0.009286,-0.013501,-0.013273
18.000000,-0.009590,-0.013945,-0.013710
19.000000,-0.009886,-0.014378,-0.014135
20.000000,-0.010175,-0.014800,-0.014550
21.000000,-0.010457,-0.015212,-0.014955
22.000000,-0.010733,-0.015616,-0.015352
23.000000,-0.011003,-0.016010,-0.015740
24.000000,-0.011267,-0.016397,-0.016120
25.000000,-0.011527,-0.016777,-0.016493
26.000000,-0.011782,-0.017150,-0.016860
27.000000,-0.012032,-0.017516,-0.017220
28.000000,-0.012278,-0.017876,-0.017574
29.000000,-0.012520,-0.018230,-0.017922
30.000000,-0.012758,-0.018579,-0.018264
31.000000,-0.012992,-0.018922,-0.018602
32.000000,-0.013223,-0.019261,-0.018934
33.000000,-0.013451,-0.019594,-0.019262
34.000000,-0.013675,-0.019923,-0.019586
35.000000,-0.013897,-0.020248,-0.019905
36.000000,-0.014116,-0.020569,-0.020220
37.000000,-0.014331,-0.020885,-0.020531
38.000000,-0.014544,-0.021198,-0.020838
39.000000,-0.014755,-0.021507,-0.021142
40.000000,-0.014963,-0.021813,-0.021442
41.000000,-0.015169,-0.022115,-0.021739
42.000000,-0.015372,-0.022414,-0.022033
43.000000,-0.015573,-0.022709,-0.022324
44.000000,-0.015773,-0.023002,-0.022611
45.000000,-0.015970,-0.023292,-0.022896
46.000000,-0.016165,-0.023579,-0.023178
47.000000,-0.016358,-0.023863,-0.023457
48.000000,-0.016549,-0.024145,-0.023734
49.000000,-0.016738,-0.024423,-0.024008
50.000000,-0.016926,-0.024700,-0.024279
51.000000,-0.017112,-0.024974,-0.024549
52.000000,-0.017296,-0.025246,-0.024816
53.000000,-0.017479,-0.025515,-0.025080
54.000000,-0.017660,-0.025782,-0.025343
55.000000,-0.017840,-0.026047,-0.025603
56.000000,-0.018018,-0.026310,-0.025861
57.000000,-0.018195,-0.026571,-0.026118
58.000000,-0.018370,-0.026830,-0.026372
59.000000,-0.018544,-0.027087,-0.026625
60.000000,-0.018717,-0.027343,-0.026875
61.000000,-0.018889,-0.027596,-0.027124
62.000000,-0.019059,-0.027847,-0.027371
63.000000,-0.019228,-0.028097,-0.027617
64.000000,-0.019395,-0.028345,-0.027860
65.000000,-0.019562,-0.028592,-0.028102
66.000000,-0.019727,-0.028837,-0.028343
67.000000,-0.019892,-0.029080,-0.028582
68.000000,-0.020055,-0.029322,-0.028819
69.000000,-0.020217,-0.029562,-0.029055
70.000000,-0.020378,-0.029801,-0.029290
71.000000,-0.020538,-0.030038,-0.029523
72.000000,-0.020697,-0.030274,-0.029754
73.000000,-0.020855,-0.030508,-0.029984
74.000000,-0.021012,-0.030741,-0.030213
